INFO 2025-07-06 18:44:31,958 autoreload 3823 140622994391168 Watching for file changes with StatReloader
WARNING 2025-07-06 18:44:36,958 log 3823 140622910453440 Not Found: /
WARNING 2025-07-06 18:44:36,958 basehttp 3823 140622910453440 "GET / HTTP/1.1" 404 3727
WARNING 2025-07-06 18:44:37,054 log 3823 140622910453440 Not Found: /favicon.ico
WARNING 2025-07-06 18:44:37,054 basehttp 3823 140622910453440 "GET /favicon.ico HTTP/1.1" 404 3778
INFO 2025-07-06 18:44:42,445 basehttp 3823 140622910453440 "GET /admin HTTP/1.1" 301 0
INFO 2025-07-06 18:44:42,488 basehttp 3823 140622902060736 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-06 18:44:42,507 basehttp 3823 140622902060736 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4219
INFO 2025-07-06 18:44:42,569 basehttp 3823 140622902060736 "GET /static/admin/css/base.css HTTP/1.1" 200 21310
INFO 2025-07-06 18:44:42,579 basehttp 3823 140622883178176 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-07-06 18:44:42,580 basehttp 3823 140622891570880 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-07-06 18:44:42,581 basehttp 3823 140622910453440 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-07-06 18:44:42,582 basehttp 3823 140622522476224 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-07-06 18:44:42,583 basehttp 3823 140622883178176 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-07-06 18:44:42,583 basehttp 3823 140622530868928 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
INFO 2025-07-06 18:44:48,503 basehttp 3823 140622883178176 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4393
INFO 2025-07-06 18:44:54,054 basehttp 3823 140622883178176 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-07-06 18:44:54,082 basehttp 3823 140622883178176 "GET /admin/ HTTP/1.1" 200 21021
INFO 2025-07-06 18:44:54,143 basehttp 3823 140622883178176 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-07-06 18:44:54,196 basehttp 3823 140622902060736 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-07-06 18:44:54,196 basehttp 3823 140622883178176 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-07-06 18:54:03,509 autoreload 3823 140622994391168 /home/sascha/Dev/CMS/shk_cms/customers/urls.py changed, reloading.
INFO 2025-07-06 18:54:03,839 autoreload 3941 140232355274880 Watching for file changes with StatReloader
INFO 2025-07-06 18:54:12,218 autoreload 3941 140232355274880 /home/sascha/Dev/CMS/shk_cms/quotes/urls.py changed, reloading.
INFO 2025-07-06 18:54:12,558 autoreload 3948 140195568894080 Watching for file changes with StatReloader
INFO 2025-07-06 18:54:20,878 autoreload 3948 140195568894080 /home/sascha/Dev/CMS/shk_cms/projects/urls.py changed, reloading.
INFO 2025-07-06 18:54:21,201 autoreload 3950 139797625958528 Watching for file changes with StatReloader
INFO 2025-07-06 18:54:28,496 autoreload 3950 139797625958528 /home/sascha/Dev/CMS/shk_cms/invoices/urls.py changed, reloading.
INFO 2025-07-06 18:54:28,802 autoreload 3952 139948739068032 Watching for file changes with StatReloader
INFO 2025-07-06 18:54:38,115 autoreload 3952 139948739068032 /home/sascha/Dev/CMS/shk_cms/employees/urls.py changed, reloading.
INFO 2025-07-06 18:54:38,448 autoreload 3954 139995094470784 Watching for file changes with StatReloader
INFO 2025-07-06 18:54:46,876 autoreload 3954 139995094470784 /home/sascha/Dev/CMS/shk_cms/timetracking/urls.py changed, reloading.
INFO 2025-07-06 18:54:47,202 autoreload 3956 140222738153600 Watching for file changes with StatReloader
INFO 2025-07-06 18:54:55,518 autoreload 3956 140222738153600 /home/sascha/Dev/CMS/shk_cms/schedules/urls.py changed, reloading.
INFO 2025-07-06 18:54:55,847 autoreload 3958 139622526906496 Watching for file changes with StatReloader
INFO 2025-07-06 18:55:07,195 autoreload 3958 139622526906496 /home/sascha/Dev/CMS/shk_cms/core/urls.py changed, reloading.
INFO 2025-07-06 18:55:07,517 autoreload 3960 140620065624192 Watching for file changes with StatReloader
INFO 2025-07-06 20:38:25,874 autoreload 7610 140016126730368 Watching for file changes with StatReloader
INFO 2025-07-06 20:40:34,544 autoreload 7633 140200539222144 Watching for file changes with StatReloader
